"DateTime","2020-2021","2021-2022","2022-2023"
"05-Jun",0.212,,0.06
"15-Jun",0.092,,0.044
"25-Jun",0.072,0.076,0.18
"05-Jul",0.028,,0.264
"15-Jul",0.016,,0.404
"25-Jul",0.44,,0.208
"05-Aug",0.656,,0.516
"15-Aug",0.66,0.856,0.616
"25-Aug",0.376,0.816,0.544
"05-Sep",,,0.58
"15-Sep",,0.032,0.556
"25-Sep",,0.656,0.476
"05-Oct",,0.452,0.42
"15-Oct",,0.26,0.14
"25-Oct",,0.136,0.12
"05-Nov",0.096,0.088,0.036
"15-Nov",0.124,0.136,0.192
"25-Nov",,0.236,0.42
"05-Dec",0.372,0.436,0.5
"15-Dec",0.54,0.564,0.564
"25-Dec",,0.356,0.016
"05-Jan",0.24,0.012,0.104
"15-Jan",0.292,,0.224
"25-Jan",0.736,0.62,
"05-Feb",0.808,0.552,0.636
"15-Feb",0.232,0.58,0.608
"25-Feb",0.872,0.58,0.576
"05-Mar",0.824,0.556,0.504
"15-Mar",0.628,0.452
"25-Mar",0.212,0.276
"05-Apr",0.208,0.144
"15-Apr",,0.132
"25-Apr",0.136,0.108
"05-May",0.076,0.084
"15-May",0.1,0.072
"25-May",0.104,0.076
